          16
   7.62939365E-08   7.15255510E-07   0.00000000    
   1.14441672E-02  -9.91593022E-03  -3.64491204E-03
   3.43323499E-02  -8.64760280E-02 -0.150888830    
   8.01087171E-02 -0.502968967     -0.756049931    
  0.171661437      -2.13885212      -1.50402629    
  0.354766905      -3.10789657      -2.23507500    
  0.720977783      -5.00235176      -3.00819063    
   1.45339966      -4.77425194      -4.06295967    
   2.91824341      -5.84597063      -5.39526892    
   5.84793043      -6.90572834      -6.78093195    
   11.7073050      -7.14657068      -8.16896343    
   23.4260540      -7.70074940      -9.55626011    
   46.8635521      -8.25892925      -10.9430561    
   93.7385483      -9.00933647      -12.3296137    
   187.488541      -9.76790428      -13.7160330    
   374.988525      -10.4103460      -15.1023960    
